PatentNo	Cited Patent No
5998273	5536676
6025242	5536676
6037204	5536676
6022801	5536676
6022771	5536676
6124639	5536676
6096647	5536676
6136677	5536676
5891791	5536676
5801086	5536676
5780361	5536676
5677213	5536676
6252095	5550093
6749778	5550093
6692713	5550093
6435043	5553795
6380898	5557228
6373317	5557228
5617052	5557228
6144842	5557228
6594478	5557228
6810240	5557228
6097998	5557523
6128567	5557523
5812433	5557523
5869742	5557523
5965671	5559197
6350799	5559197
5856352	5563167
5656197	5563230
6743936	5563230
6914126	5563230
6696585	5563230
6709956	5567638
6670242	5567638
6630383	5567638
6624476	5567638
6509230	5567638
6498082	5567638
6528396	5567638
6521496	5567638
6551946	5567638
6875676	5567638
6967383	5567638
6747327	5567638
6737337	5567638
6762454	5567638
6777346	5567638
6815295	5567638
5707896	5567638
5714788	5567638
5854115	5567638
5847427	5567638
5851888	5567638
5851891	5567638
5872049	5567638
5872052	5567638
5861329	5567638
5877057	5567638
5885861	5567638
5885877	5567638
5830802	5567638
5843812	5567638
5837598	5567638
5959333	5567638
5981364	5567638
5936287	5567638
5937303	5567638
6017808	5567638
6114196	5567638
6153456	5567638
6069046	5567638
6080629	5567638
6051460	5567638
6043138	5567638
6373113	5567638
6369423	5567638
6362045	5567638
6380055	5567638
6395610	5567638
6410938	5567638
6440829	5567638
6255149	5567638
6194305	5567638
6197647	5567638
6342437	5567638
6298394	5570375
6314539	5570375
6272653	5570375
6195775	5570375
6205560	5570375
6434665	5570375
6427217	5570375
6449712	5570375
6457118	5570375
6460174	5570375
6463553	5570375
6484275	5570375
6487683	5570375
6408381	5570375
6412043	5570375
6412047	5570375
6378094	5570375
6351803	5570375
6357026	5570375
6349371	5570375
6088784	5570375
5983379	5570375
6000040	5570375
5960008	5570375
5790561	5570375
5859657	5570375
5710779	5570375
6820195	5570375
6826191	5570375
6859891	5570375
6779145	5570375
6789220	5570375
6754867	5570375
6972592	5570375
6948140	5570375
6886110	5570375
6915495	5570375
6918065	5570375
6928073	5570375
6895565	5570375
6542983	5570375
6553460	5570375
6557119	5570375
6546480	5570375
6530047	5570375
6502210	5570375
6590907	5570375
6591340	5570375
6591369	5570375
6574762	5570375
6574651	5570375
6567932	5570375
6567325	5570375
6615370	5570375
6598128	5570375
6598177	5570375
6598193	5570375
6601189	5570375
6629115	5570375
6629207	5570375
6629281	5570375
6633971	5570375
6665816	5570375
6662327	5570375
