Patent No	Cited patent
5849045	5066556
5849045	5424151
5849045	5597661
5849360	3807008
5849360	3959557
5849360	4150195
5849360	4442169
5849360	4810530
5849360	4830886
5849516	4375510
5849516	5573947
5853731	4595693
5853731	4595963
5854374	5221761
5854374	5432250
5856352	5563167
5857000	5109417
5857000	5297236
5857000	5363096
5857000	5640421
5863454	4762644
5863454	4880508
5863454	4904553
5863454	4929389
5863454	5110504
5866071	4003834
5866071	4346608
5866071	5284773
5866071	5393674
5866071	5562823
5866071	5575914
5867059	4518922
5867059	5309480
5870048	4704600
5870048	5274375
5870048	5323157
5872071	4672152
5872071	4755490
5872071	5100871
5872071	5122510
5872071	5262368
5872071	5280013
5872071	5415945
5872071	5449652
5872071	5461014
5876690	5108725
5876690	5112589
5876690	5695735
5876942	5578449
5876942	5596089
5883379	5005970
5883379	5200602
5886134	4287014
5886134	4978727
5886134	5189116
5886134	5426161
5886134	5548034
5886806	4494821
5886806	4632500
5886806	4961080
5886806	5153769
5891351	5348616
5891351	5735896
5891970	4851487
5891970	5159031
5891970	5164465
5891970	5208301
5891970	5237023
5891970	5250639
5891970	5254670
5891970	5641859
5893740	5073514
5893740	5217910
5893740	5413949
5893740	5496751
5893740	5578509
5893740	5631485
5893740	5650340
5893740	5656519
5893740	5744372
5893740	5792699
5893741	4948745
5893741	5079180
5893741	5084417
5893741	5118639
5893741	5198378
5893741	5242847
5893741	5306667
5893741	5496750
5893741	5504031
5893741	5637518
5898333	5514994
5898333	5729165
5898333	5783962
5900474	4107149
5900474	4136089
5903047	4254426
5903047	4518670
5903047	4609930
5903047	4722879
5903047	5075244
5903047	5194349
5903047	5525813
5907423	3729248
5907423	4494821
5907423	5153769
5909941	4098001
5909941	4355469
5909941	4477975
5909941	4556203
5909941	4627169
5909941	4720923
5909941	4848757
5909941	5148610
5909941	5396714
5911839	5217539
5911839	5316593
5911839	5342453
5911982	5162222
5911982	5169784
5912093	4237264
5912093	4801644
5912093	4855077
5912093	5407593
5912093	5456000
5912093	5549987
5912093	5687056
5913123	4640721
5913123	5281552
5913123	5407847
5913123	5443994
5913123	5500391
5913123	5521108
5913123	5668027
5913794	3716959
5913794	5148642
5913794	5349794
5913794	5595040
5917029	5460952
5917351	5446418
5922091	5209816
5922091	5389194
5922091	5391258
5922091	5476606
5922091	5756398
5922091	5800577
5923689	5165105
5923689	5282218
5923689	5331655
5926615	5444217
5926615	5517594
5926615	5715361
5930322	5424074
5930322	5530407
5930322	5594703
5930322	5684971
5930322	5729179
5930322	5854755
5931894	4745568
5931894	5046037
5931894	5101431
5932584	5340814
5932584	5371080
5932584	5512677
5935705	3394991
5935705	3565674
5935705	3937792
5935705	4022872
5935705	4117095
5935705	4118539
5935705	4122155
5935705	4147584
5935705	4280989
5935705	4393097
5935705	4476346
5935705	4499331
5935705	4504518
5935705	4710786
5935705	5204138
5935705	5234609
5935705	5242530
5936457	5561287
5936457	5572074
5936457	5748303
5936457	5773816
5936457	5793230
5936457	5804997
5941063	2908136
5941063	2911791
5941063	4802337
5941063	5768886
5943560	4905072
5943560	5073408
5943560	5242530
5943560	5354700
5943560	5461250
5947878	4833772
5947878	5081762
5947878	5749819
5947878	5876316
5948382	4814159
5948382	5700440
5948382	5728358
5952878	3787774
5952878	4494551
5952885	4999584
5952885	5606277
5958519	3859178
5958519	3890169
5958519	3898141
5958519	3914465
5958519	3929589
5958519	3935328
5958519	4194927
5958519	4433006
5958519	4859253
5959189	2471423
5959189	3028746
5959189	3375699
5959189	3785196
5959189	3939690
5959189	3952566
5959189	4217698
5959189	4763508
5959189	5031443
5959189	5072611
5959189	5184503
5959189	5226308
5960668	2789683
5960668	3456529
5960668	3496791
5960668	3710639
5960668	4541297
5960668	4685346
5960668	4747321
5961718	5219769
5961718	5420443
5961718	5433977
5961718	5443032
5961718	5497726
5961718	5541423
5964826	5467297
5964826	5890800
5965005	4119993
5965005	4248683
5965005	4268348
5965005	4303482
5965005	4874484
5965005	4876210
5965005	5139624
5965005	5141894
5965005	5145809
5965005	5183776
5965005	5221637
5965005	5256594
5965005	5352341
5965005	5828088
5965270	4980307
5965270	5138401
5965270	5252515
5965270	5481135
5965671	3342606
5965671	4079031
5965671	4814094
5965671	4814394
5965671	5272226
5965671	5534302
5965671	5559197
5966392	4756003
5966392	4847851
5966392	5511085
5966392	5539765
5966392	5802086
5971543	4798458
5971543	4966453
5971543	5734459
5972683	4600589
5972683	5700676
5972683	5709901
5972683	5780285
5972683	5846802
5973514	5525916
5973514	5559452
5973514	5594380
5973514	5898333
5973589	4097834
5973589	4290041
5973589	4559167
5973589	5119062
5973589	5369390
5977289	5268487
5977289	5414070
5977572	5329145
5977572	5404028
5977572	5598015
5977572	5604356
5978062	5015074
5978062	5061047
5978062	5418633
5978062	5469280
5978062	5668617
5978062	5673092
5978062	5784137
5978062	5831710
5978062	5880803
5981321	5162245
5981321	5395787
5981321	5478776
5981321	5710054
5981321	5856226
5981774	5495005
5986483	5073869
5991192	4858181
5991192	5272668
5991192	5305264
5991192	5432736
5993726	5425909
5993726	5484629
5994410	5177248
5994410	5294732
5994410	5416188
5998246	5355006
5998304	5326720
5998304	5378960
5998304	5516721
5998304	5650361
5999958	4791598
5999958	5285402
5999958	5357453
5999958	5598361
5999958	5668748
6003351	2808717
6003351	3029626
6003351	3695073
6003351	3789638
6003351	3881333
6003351	4008588
6003351	4083212
6003351	4336700
6003351	4351172
6005160	4806382
6005160	5376400
6011402	5113131
6011402	5546011
6011402	5883518
6019936	5340533
6019936	5342572
6019936	5794113
6024488	4649529
6024488	5144690
6024488	5351324
6024488	5563967
6024488	5869835
6029521	5165270
6029521	5402781
6029521	5404755
6029521	5438872
6031256	5151618
6031256	5365077
6031256	5389798
6031256	5389804
6031256	5459331
6031256	5828077
6031844	4774707
6031844	5570355
6031844	5648958
6031844	5787483
6031844	5844906
6031844	5883901
6033985	5329486
6033985	5408130
6033985	5668391
6033985	5824579
6033985	5895961
6033985	5937291
6037604	4607272
6037604	4806993
6042714	4340448
6042714	4545382
6042714	4713165
6043518	5060234
6043518	5323030
6043518	5488237
6045472	4889521
6045472	5162022
6045472	5188569
6045472	5192249
6045472	5192250
6045472	5409422
6045472	5437582
6045472	5503598
6045472	5690570
6045472	5716297
6045472	5738603
6045472	5759124
6046066	4071838
6046066	4597003
6046066	4670092
6046475	4784968
6046475	4868620
6046475	5060033
6046475	5177570
6046475	5466957
6046475	5605855
6046475	5608253
6046475	5757045
6046475	5841171
6052039	4851795
6052039	5023576
6052039	5339462
6052704	4890252
6052704	5206824
6052704	5448510
6052704	5467297
6052704	5612910
6054747	4903102
6054747	5684308
6054747	5714772
6054747	5736773
6057620	3791704
6057620	4037886
6057620	5142175
6057620	5155402
6057620	5256638
6057620	5319275
6057620	5481146
6057620	5508573
6057620	5729066
6060415	4310440
6060415	4699892
6060415	4861743
6060415	4921823
6060415	5019263
6060415	5258339
6060415	5360474
6060415	5374411
6060415	5429743
6060415	5464798
6060415	5567664
6060575	5268487
6060575	5414070
6060575	5675020
6063661	5266514
6063661	5286668
6063661	5597755
6074172	3659968
6074172	4353220
6074172	4613285
6074172	4772828
6074172	5535593
6074172	5836165
6074172	5947693
6074285	1035562
6074285	1281001
6074285	1317453
6074285	1329551
6074285	1377118
6074285	1608140
6074285	2123705
6074285	2434834
6074285	2909006
6074285	3543450
6074285	3971170
6074285	4944119
6077760	5670414
6080607	4744859
6080607	5200351
6080607	5576556
6080607	5604139
6080607	5648277
6080607	5661051
6080607	5663077
6080607	5677240
6080607	5686328
6080607	5698869
6080607	5719065
6080607	5741718
6080607	5757456
6080607	5786241
6080607	5808315
6080607	5834327
6080607	5904508
6080607	5914498
6080607	5943561
6080607	5946561
6080607	5956581
6080607	5966594
6087189	5362356
6087189	5450205
6087189	5552718
6087276	4619748
6087276	4624859
6087276	4683838
6087276	4915772
6087276	5313075
6087470	4278786
6087470	4595745
6087470	5084557
6087470	5268487
6087470	5414070
6087470	5844065
6087470	5939521
6087702	4394673
6087702	5079596
6087702	5323053
6087702	5847437
6087704	3619288
6087704	5585649
6087704	5796127
6087785	5623187
6087785	5773937
6087785	5859505
6090358	4737379
6090358	5110679
6090358	5236545
6090358	5254374
6090358	5320878
6090358	5508368
6090726	4050083
6090726	4261791
6090726	4375125
6090726	4956022
6090726	5066359
6090726	5131546
6090726	5462898
6090726	5529946
6090726	5651900
6090726	5849625
6091889	5418885
6091889	5683518
6091889	5820686
6091889	5841110
6091889	5926615
6093790	5268487
6093790	5414070
6093790	5817741
6093790	5844065
6103546	5478757
6103546	5627081
6106527	4573454
6106527	5681312
6106527	5810815
6111245	5841126
6111245	5952686
6115126	3229177
6115126	4643576
6115126	4744659
6115126	4768881
6115126	4786175
6115126	5305074
6115126	5357341
6115126	5432447
6115126	5771097
6117852	4578391
6117852	5648532
6118136	5389804
6118136	5414273
6118136	5432362
6118136	5459331
6118136	5828077
6118136	5939729
6118390	4090191
6118390	5168181
6118390	5818259
6118390	5886660
6118901	5099325
6118901	5475446
6118901	5568203
6118901	5585862
6118901	5636293
6118901	5706059
6123912	3871031
6123912	3905047
6123912	4396595
